time,CTWS AVG,HTWS AVG,OA Wetbulb Temp
27060, 51.8, 52.58, 37.2
27120, 51.8, 52.47, 37.3
27180, 51.8, 52.41, 37.3
27240, 51.8, 52.34, 37.2
27300, 51.8, 52.34, 37.2
27360, 51.8, 52.39, 37.2
27420, 51.8, 52.39, 37.2
27480, 51.8, 52.39, 37.2
27540, 51.8, 52.39, 37.2
27600, 51.8, 52.44, 37.2
27660, 51.8, 52.44, 37.2
27720, 51.8, 52.51, 37.3
27780, 51.8, 52.57, 37.3
27840, 51.9, 52.57, 37.3
27900, 51.9, 52.57, 37.3
27960, 52, 52.57, 37.3
28020, 52, 52.57, 37.4
28080, 52.2, 52.62, 37.4
28140, 52.2, 52.7, 37.4
28200, 52.2, 52.92, 37.4
28260, 52.2, 53.2, 37.4
28320, 52.2, 53.32, 37.5
28380, 52.2, 53.16, 37.5
28440, 52.2, 52.88, 37.6
28500, 52.2, 52.82, 37.6
28560, 52.2, 52.89, 37.6
28620, 52.2, 53.33, 37.5
28680, 52.2, 53.7, 37.5
28740, 52.2, 53.94, 37.6
28800, 52.2, 54.24, 37.6
28860, 52.2, 54.37, 37.7
28920, 52.4, 54.5, 37.8
28980, 52.4, 54.67, 37.8
29040, 52.4, 55.09, 37.9
29100, 52.4, 55.73, 37.8
29160, 52.5, 56.42, 37.9
29220, 52.5, 56.77, 38
29280, 52.6, 56.62, 38.1
29340, 52.6, 56.14, 38.1
29400, 52.7, 55.55, 38.2
29460, 52.9, 55.04, 38.2
29520, 53.4, 54.69, 38.3
29580, 54, 54.64, 38.4
29640, 54.4, 54.76, 38.4
29700, 54.7, 55.13, 38.4
29760, 55, 55.54, 38.5
29820, 55.1, 55.85, 38.5
29880, 55.3, 55.96, 38.6
29940, 55.4, 56.07, 38.7
30000, 55.4, 55.75, 38.9
30060, 55.5, 55.64, 39
30120, 55.5, 55.64, 38.9
30180, 55.2, 55.5, 39
30240, 54.9, 55.22, 39.2
30300, 54.7, 54.97, 39.3
30360, 54.4, 54.71, 39.4
30420, 54.1, 54.45, 39.5
30480, 54.1, 54.19, 39.4
30540, 54.1, 54.05, 39.5
30600, 53.9, 53.88, 39.7
30660, 53.9, 53.75, 39.8
30720, 53.9, 53.69, 39.8
30780, 53.8, 53.63, 39.8
30840, 53.8, 53.58, 39.9
30900, 53.8, 53.53, 39.9
30960, 53.8, 53.53, 39.9
31020, 53.9, 53.53, 39.9
31080, 53.9, 53.53, 40
31140, 53.9, 53.53, 40
31200, 53.9, 53.53, 40
31260, 53.9, 53.53, 40
31320, 53.8, 53.59, 40
31380, 53.7, 53.59, 40.1
31440, 53.6, 53.65, 40.2
31500, 53.3, 53.71, 40.3
31560, 53, 53.81, 40.4
31620, 52.7, 53.87, 40.4
31680, 52.6, 53.87, 40.5
31740, 52.4, 53.87, 40.5
31800, 52.3, 53.82, 40.6
31860, 52.2, 53.82, 40.7
31920, 52.1, 53.82, 40.7
31980, 52.1, 53.87, 40.7
32040, 52.1, 53.87, 40.7
32100, 52.1, 53.82, 40.8
32160, 52.1, 53.99, 40.9
32220, 52.3, 54.24, 40.9
32280, 52.4, 54.4, 41
32340, 52.6, 54.59, 40.9
32400, 52.6, 54.66, 40.9
32460, 52.8, 54.78, 40.9
32520, 52.8, 54.78, 41
32580, 53, 54.85, 41.1
32640, 53, 54.85, 41
32700, 53, 54.37, 41.1
32760, 53, 53.82, 41.1
32820, 53, 53.66, 41.2
32880, 52.9, 53.92, 41.3
32940, 52.7, 54.41, 41.4
33000, 52.7, 54.82, 41.5
33060, 52.7, 54.97, 41.5
33120, 52.7, 55.1, 41.5
33180, 52.9, 55.05, 41.5
33240, 52.9, 55.05, 41.6
33300, 52.9, 55.13, 41.7
33360, 53, 55.26, 41.7
33420, 53.1, 55.36, 41.6
33480, 53.2, 55.52, 41.6
33540, 53.3, 55.67, 41.6
33600, 53.4, 55.88, 41.7
33660, 53.6, 56.05, 41.7
33720, 53.6, 56.31, 41.8
33780, 53.6, 56.48, 42
33840, 53.6, 56.66, 42
33900, 53.7, 56.82, 42
33960, 53.7, 56.88, 41.9
34020, 53.7, 56.88, 41.9
34080, 53.8, 56.79, 42
34140, 53.8, 56.52, 42.1
34200, 54, 56.23, 42.2
34260, 54, 56.03, 42.3
34320, 54.1, 55.97, 42.2
34380, 54.2, 56.02, 42.4
34440, 54.3, 56.25, 42.6
34500, 54.3, 56.66, 42.6
34560, 54.3, 57.25, 42.4
34620, 54.3, 57.61, 42.5
34680, 54.3, 57.74, 42.6
34740, 54.3, 57.74, 42.8
34800, 54.3, 57.37, 42.9
34860, 54.5, 56.99, 42.8
34920, 54.8, 56.69, 42.9
34980, 55, 56.56, 42.8
35040, 55.1, 56.56, 42.9
35100, 55.4, 56.83, 42.8
35160, 55.5, 57.11, 42.8
35220, 55.5, 57.23, 42.6
35280, 55.5, 57.39, 42.6
35340, 55.5, 57.44, 42.6
35400, 55.4, 57.44, 42.7
35460, 55.4, 57.44, 42.7
35520, 55.4, 57.39, 42.8
35580, 55.4, 57.39, 42.9
35640, 55.4, 57.39, 42.9
35700, 55.4, 57.39, 42.9
35760, 55.4, 57.39, 42.9
35820, 55.5, 57.39, 42.9
35880, 55.5, 57.53, 42.8
35940, 55.5, 57.65, 42.9
36000, 55.5, 57.7, 42.9
36060, 55.5, 57.75, 42.9
36120, 55.6, 57.75, 43.1
36180, 55.7, 57.6, 43.2
36240, 55.8, 57.48, 43.2
36300, 55.9, 57.48, 43.3
36360, 56, 57.48, 43.4
36420, 56.2, 57.53, 43.5
36480, 56.2, 57.67, 43.5
36540, 56.2, 57.74, 43.5
36600, 56.2, 57.8, 43.5
36660, 56.3, 57.85, 43.4
36720, 56.3, 57.9, 43.4
36780, 56.3, 58.02, 43.5
36840, 56.3, 58.02, 43.6
36900, 56.4, 58.02, 43.7
36960, 56.4, 58.02, 43.7
37020, 56.4, 58.02, 43.8
37080, 56.6, 58.02, 43.9
37140, 56.7, 58.02, 43.9
37200, 56.7, 58.15, 43.8
37260, 56.7, 58.15, 43.7
37320, 56.7, 58.21, 43.8
37380, 56.7, 58.21, 43.8
37440, 56.8, 58.21, 43.8
37500, 56.9, 58.21, 43.8
37560, 56.9, 58.21, 43.8
37620, 56.9, 58.21, 43.9
37680, 57, 58.21, 43.9
37740, 57, 58.21, 43.9
37800, 57, 58.21, 44
37860, 57, 58.21, 44
37920, 57, 58.21, 44
37980, 57, 58.21, 44.1
38040, 57, 58.15, 44.2
38100, 57, 58.15, 44.2
38160, 57, 58.15, 44.1
38220, 57, 58.15, 44.2
38280, 57, 58.09, 44.2
38340, 57, 57.97, 44.2
38400, 57, 57.91, 44.3
38460, 57, 57.91, 44.3
38520, 57, 57.86, 44.4
38580, 57, 57.81, 44.5
38640, 57, 57.81, 44.5
38700, 57, 57.75, 44.5
38760, 57, 57.75, 44.6
38820, 57, 57.75, 44.6
38880, 57, 57.75, 44.7
38940, 57, 57.75, 44.7
39000, 56.8, 57.75, 44.6
39060, 56.7, 57.7, 44.7
39120, 56.5, 57.65, 44.8
39180, 56.5, 57.65, 44.9
39240, 56.3, 57.54, 45
39300, 56.3, 57.54, 45.1
39360, 56.2, 57.54, 45.1
39420, 56, 57.54, 45
39480, 56, 57.54, 45
39540, 56, 57.66, 45
39600, 55.7, 57.93, 45.1
39660, 55.6, 58.24, 45.1
39720, 55.6, 58.53, 45.1
39780, 55.4, 58.72, 45.2
39840, 55.4, 58.72, 45.1
39900, 55.4, 58.39, 45.1
39960, 55.7, 58.07, 45.1
40020, 55.9, 57.88, 45.2
40080, 56.1, 57.73, 45.3
40140, 56.3, 57.73, 45.3
40200, 56.5, 57.82, 45.4
40260, 56.6, 58.19, 45.4
40320, 56.7, 58.52, 45.3
40380, 57, 58.7, 45.3
40440, 57, 58.77, 45.4
40500, 57, 58.77, 45.5
40560, 57, 58.77, 45.6
40620, 57, 58.77, 45.6
40680, 57, 58.72, 45.9
40740, 57, 58.66, 46
40800, 57, 58.66, 45.9
40860, 57, 58.53, 45.9
40920, 57, 58.37, 45.9
40980, 57, 58.32, 45.9
41040, 57, 58.27, 45.9
41100, 57, 58.27, 45.9
41160, 57, 58.88, 45.9
41220, 57, 60.01, 45.9
41280, 57, 61.23, 45.8
41340, 57.1, 62.1, 45.9
41400, 57.1, 62.48, 46
41460, 57.4, 62.48, 45.9
41520, 57.5, 62.26, 45.9
41580, 57.9, 61.66, 46
41640, 58.7, 61.03, 46.1
41700, 59.4, 60.69, 46.1
41760, 60, 60.74, 46.2
41820, 60.5, 61.28, 46.2
41880, 60.7, 61.98, 46.1
41940, 60.8, 62.6, 46.2
42000, 60.8, 62.78, 46.1
42060, 60.8, 62.78, 46.1
42120, 60.8, 62.42, 46.1
42180, 60.8, 61.75, 46.1
42240, 60.6, 61.39, 46.1
42300, 60.5, 61.09, 46.1
42360, 60.3, 60.98, 46.1
42420, 60, 60.77, 46.2
42480, 59.8, 60.51, 46.2
42540, 59.7, 60.27, 46.3
42600, 59.5, 60.12, 46.4
42660, 59.4, 59.97, 46.5
42720, 59.4, 59.83, 46.6
42780, 59.4, 59.7, 46.6
42840, 59.3, 59.63, 46.7
42900, 59.3, 59.63, 46.8
42960, 59.3, 59.63, 46.8
43020, 59.3, 59.53, 46.8
43080, 59.3, 59.53, 47
43140, 59.3, 59.53, 47.1
43200, 59.3, 59.53, 47.1
43260, 59.3, 59.53, 47.1
43320, 59.2, 59.53, 47.2
43380, 59.1, 59.53, 47.3
43440, 59, 59.4, 47.8
43500, 58.9, 59.25, 48.2
43560, 58.9, 59.25, 48.5
43620, 58.8, 59.14, 48.6
43680, 58.7, 59.14, 48.8
43740, 58.7, 59.14, 48.6
43800, 58.7, 59.2, 48.4
43860, 58.5, 59.35, 48.1
43920, 58.4, 59.49, 48.1
43980, 58.2, 59.84, 48
44040, 58.1, 60.29, 47.8
44100, 57.9, 60.87, 47.7
44160, 57.7, 61.09, 47.8
44220, 57.6, 61.14, 48.2
44280, 57.4, 61.04, 48.2
44340, 57.4, 60.91, 48.2
44400, 57.5, 60.79, 48.1
44460, 57.7, 60.71, 48.1
44520, 57.9, 60.71, 48.4
44580, 58.2, 60.79, 49.2
44640, 58.4, 61.1, 49.2
44700, 58.4, 61.49, 49
44760, 58.6, 62.01, 48.9
44820, 58.6, 62.48, 48.9
44880, 58.7, 62.81, 48.8
44940, 58.7, 62.81, 48.7
45000, 58.7, 62.58, 48.7
45060, 58.7, 62.11, 48.7
45120, 58.8, 61.65, 48.6
45180, 59.1, 61.31, 48.6
45240, 59.2, 61.26, 48.8
45300, 59.5, 61.59, 49.1
45360, 59.5, 62.32, 49.8
45420, 59.6, 62.98, 50
45480, 59.6, 63.22, 50
45540, 59.7, 62.46, 50.1
45600, 59.7, 61.4, 49.6
45660, 59.7, 60.56, 49.3
45720, 59.7, 60.09, 49.4
45780, 59.5, 59.98, 49.6
45840, 59.2, 59.98, 49.7
45900, 58.9, 59.98, 49.9
45960, 58.6, 59.98, 49.8
46020, 58.2, 60.03, 49.5
46080, 57.9, 59.85, 49.4
46140, 57.6, 59.45, 49.4
46200, 57.5, 59.01, 49.4
46260, 57.5, 58.82, 49.4
46320, 57.5, 58.56, 50
46380, 57.6, 58.39, 50.7
46440, 57.9, 58.19, 50.8
46500, 58.2, 58.07, 50.3
46560, 58.6, 58.12, 50
46620, 58.8, 58.38, 49.7
46680, 59, 58.38, 49.6
46740, 59.1, 58.38, 49.5
46800, 59.3, 58.73, 49.4
46860, 59.3, 59.13, 49.4
46920, 59.3, 59.55, 49.4
46980, 59.3, 59.83, 49.3
47040, 59.3, 59.93, 49.2
47100, 59.3, 59.93, 49.3
47160, 59.5, 59.93, 49.2
47220, 59.6, 59.93, 49.2
47280, 59.6, 59.93, 49.1
47340, 59.7, 59.93, 49.1
47400, 59.7, 59.93, 49.2
47460, 59.7, 59.93, 49.6
47520, 59.7, 60, 50
47580, 59.7, 60.13, 49.9
47640, 59.7, 60.23, 49.7
47700, 59.7, 60.28, 49.5
47760, 59.7, 60.33, 49.4
47820, 59.7, 60.33, 49.4
47880, 59.7, 60.33, 49.2
